Department,Equipment Class,Equipment Count,SUM,AVERAGE
Board ofElections,Van,1,528,10.15384615
Board ofElections,Off Road VehicleEquipment,2,,
CircuitCourt,SUV,1,MIN,MAX
Community EngagementCluster,Pick Up  Trucks,8,1,75
Community EngagementCluster,Off Road VehicleEquipment,7,,
Community EngagementCluster,SUV,2,COUNT,
Community Use of PublicFacilities,Sedan,1,52,
ConsumerProtection,Sedan,1,,
Correction andRehabilitation,Off Road VehicleEquipment,3,,
Correction andRehabilltation,Public  Safety Sedan,1,,
Correction andRehabilitation,Public  Safety SUV,2,,
Correction andRehabilitation,SUV,3,,
Correction andRehabilitation,Pick Up Trucks,1,,
Correction andRehabilitation,Van,8,,
Correction andRehabilitation,Sedan,10,,
Correction andRehabilitation,CUV,1,,
County ExecutivesOffice,Sedan,2,,
County ExecutivesOffice,Public Safety SUV,3,,
EconomicDevelopment,SUV,1,,
EnviromnentalProtection,SUV,18,,
EnviromnentalProtection,Sedan,15,,
EnviromnentalProtection,Van,3,,
EnviromnentalProtection,CUV,1,,
EnviromnentalProtection,Medium Duty,2,,
EnviromnentalProtection,Pick Up Trucks,33,,
Fire andRescue,Public Safety SUV,27,,
Fire andRescue,Public Safety Pick Up Trucks,12,,
Fire andRescue,Public Safety Sedan,18,,
Fire andRescue,Public Safety Van,11,,
Fire andRescue,SUV,6,,
Fire andRescue,Van,4,,
Fire andRescue,Off Road VehicleEquipment,2,,
Fire andRecsue,Pick Up Trucks,12,,
Fire andRescue,Sedan,1,,
Fire andRescue,Public Safety CUV,4,,
Fire andRescue,Public Safety Heavy Duty,1,,
Fire andRescue,Heavy Duty,1,,
Fire andRescue,Transit Bus,1,,
GeneralServices,Public Safety Van,1,,
GeneralServices,SUV,21,,
GeneralServices,Public Safety Heavy Duty,1,,
GeneralServices,Off Road VehicleEquipment,45,,
GeneralServices,Sedan,31,,
GeneralServices,Medium Duty,3,,
GeneralServices,Van,42,,
GeneralServices,CUV,5,,
GeneralServcies,Heavy Duty,5,,
GeneralServices,Pick Up Trucks,48,,
Health and HumanServices,CUV,5,,
Health and HumanServcies,Van,15,,
Health and HumanServices,Public Safety SUV,1,,
Health and HumanServices,Sedan,75,,
,,,,
